yr_built,bridge_condition,avg_daily_traffic,lat,long,county,carries,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
1933,Fair,8680,39.08166504,-76.62666321,Anne Arundel County,VETERNS HIGHWAY,NA,05,15,State Highway Agency,State Highway Agency,8680 vehicles
1989,Fair,1262,38.748175,-76.55730833333334,Anne Arundel County,MD 423,NA,11,15,State Highway Agency,State Highway Agency,1262 vehicles
1995,Fair,17920,38.99333191,-76.48833466,Anne Arundel County,MD 450,NA,01,16,State Highway Agency,State Highway Agency,17920 vehicles
1987,Good,10920,38.98500061,-76.49500275,Anne Arundel County,MD 450,1374,03,16,State Highway Agency,State Highway Agency,10920 vehicles
2008,Good,7520,38.9862611111111,-76.60876944444445,Anne Arundel County,MD 450,NA,01,15,State Highway Agency,State Highway Agency,7520 vehicles
1989,Fair,6270,38.9871222222222,-76.62270555555556,Anne Arundel County,MD 450,NA,11,16,State Highway Agency,State Highway Agency,6270 vehicles
1976,Fair,16790,39.1548527777778,-76.59850833333333,Anne Arundel County,MD 648E,NA,12,15,State Highway Agency,State Highway Agency,16790 vehicles
1931,Fair,17142,39.1344833333333,-76.6973111111111,Anne Arundel County,MD 174,162,11,15,State Highway Agency,State Highway Agency,17142 vehicles
1991,Fair,102300,39.08166504,-76.61833191,Anne Arundel County,IS 97 NBR,NA,11,15,State Highway Agency,State Highway Agency,102300 vehicles
1991,Fair,102300,39.08166504,-76.62666321,Anne Arundel County,IS 97 SBR,NA,09,15,State Highway Agency,State Highway Agency,102300 vehicles
1961,Fair,8800,39.23025,-76.66470277777778,Anne Arundel County,HAMMONDS FERRY RD,778,05,16,State Highway Agency,State Highway Agency,8800 vehicles
1961,Fair,7962,38.7904333333333,-76.66793611111112,Anne Arundel County,MD 258,NA,08,15,State Highway Agency,State Highway Agency,7962 vehicles
1963,Fair,8882,38.79345,-76.55841944444444,Anne Arundel County,MD 258,NA,04,15,State Highway Agency,State Highway Agency,8882 vehicles
1963,Fair,21300,39.13333511,-76.59500122,Anne Arundel County,MD 100 RAMP,NA,03,16,State Highway Agency,State Highway Agency,21300 vehicles
1997,Fair,5110,38.9924777777778,-76.50754444444445,Anne Arundel County,MD 436,NA,03,15,State Highway Agency,State Highway Agency,5110 vehicles
1963,Fair,12651,39.13499832,-76.59833527,Anne Arundel County,MD 100 EBR,838,03,15,State Highway Agency,State Highway Agency,12651 vehicles
1963,Fair,12651,39.13499832,-76.59833527,Anne Arundel County,MD 100 WBR,806,03,15,State Highway Agency,State Highway Agency,12651 vehicles
1963,Fair,75406,39.15166855,-76.63666534,Anne Arundel County,MD 100 EBR,734,12,16,State Highway Agency,State Highway Agency,75406 vehicles
1963,Fair,75406,39.15166855,-76.63666534,Anne Arundel County,MD 100 WBR,734,12,16,State Highway Agency,State Highway Agency,75406 vehicles
1963,Fair,75406,39.14333344,-76.63166809,Anne Arundel County,MD 100 EBR,980,08,16,State Highway Agency,State Highway Agency,75406 vehicles
1963,Fair,75406,39.14333344,-76.63166809,Anne Arundel County,MD 100 EBR,491,08,16,State Highway Agency,State Highway Agency,75406 vehicles
1963,Fair,35961,39.13999939,-76.62000275,Anne Arundel County,MD 100 EBR,590,08,16,State Highway Agency,State Highway Agency,35961 vehicles
1963,Fair,35961,39.13999939,-76.62000275,Anne Arundel County,MD 100 WBR,608,08,16,State Highway Agency,State Highway Agency,35961 vehicles
1964,Good,73112,39.13833237,-76.61166382,Anne Arundel County,MD 100,NA,07,15,State Highway Agency,State Highway Agency,73112 vehicles
1963,Good,8882,38.7911,-76.57938333333334,Anne Arundel County,MD 258,NA,07,15,State Highway Agency,State Highway Agency,8882 vehicles
1967,Fair,2770,39.20999908,-76.65000153,Anne Arundel County,IS 695 RAMP G,703,08,16,State Highway Agency,State Highway Agency,2770 vehicles
1967,Fair,66659,39.20999908,-76.65000153,Anne Arundel County,IS 695 RAMP L,NA,07,15,State Highway Agency,State Highway Agency,66659 vehicles
1967,Fair,74085,39.20999908,-76.64833069,Anne Arundel County,IS 695 IL,1477,09,16,State Highway Agency,State Highway Agency,74085 vehicles
1967,Fair,74085,39.20999908,-76.64833069,Anne Arundel County,IS 695 OL,1477,10,16,State Highway Agency,State Highway Agency,74085 vehicles
1968,Fair,40541,39.20666504,-76.61499786,Anne Arundel County,MD 2,NA,06,16,State Highway Agency,State Highway Agency,40541 vehicles
1968,Fair,34550,39.2054166666667,-76.61235,Anne Arundel County,MD 695 RAMP B(3),NA,11,15,State Highway Agency,State Highway Agency,34550 vehicles
1968,Fair,46601,39.20500183,-76.61499786,Anne Arundel County,MD 2,NA,12,15,State Highway Agency,State Highway Agency,46601 vehicles
1970,Fair,39092,39.065,-76.643333,Anne Arundel County,MD 32 WBR,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
1970,Fair,39092,39.065,-76.643333,Anne Arundel County,MD 32 WBR,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
1969,Fair,19710,39.1195361111111,-76.53284444444445,Anne Arundel County,EDWIN RAYNOR ROAD,585,01,17,State Highway Agency,State Highway Agency,19710 vehicles
1951,Fair,128182,39.22333145,-76.65833282,Anne Arundel County,IS 695,158,03,16,State Highway Agency,State Highway Agency,128182 vehicles
1953,Fair,46541,39.01333237,-76.49333191,Anne Arundel County,MD 2,1866,09,16,State Highway Agency,State Highway Agency,46541 vehicles
1953,Fair,95083,39.01333237,-76.49333191,Anne Arundel County,US 50,NA,02,16,State Highway Agency,State Highway Agency,95083 vehicles
1984,Good,65902,39.12166595,-76.78666687,Anne Arundel County,MD 32,NA,06,16,State Highway Agency,State Highway Agency,65902 vehicles
1971,Fair,26792,39.13166809,-76.58666992,Anne Arundel County,MD 100 EBR,NA,06,16,State Highway Agency,State Highway Agency,26792 vehicles
1971,Fair,26792,39.13166809,-76.58666992,Anne Arundel County,MD 100 WBR,308,06,16,State Highway Agency,State Highway Agency,26792 vehicles
1971,Fair,5802,39.1208277777778,-76.56143333333333,Anne Arundel County,MD 648H,429,12,16,State Highway Agency,State Highway Agency,5802 vehicles
1971,Fair,5802,39.1214166666667,-76.56155277777778,Anne Arundel County,MD 648H,429,09,16,State Highway Agency,State Highway Agency,5802 vehicles
1971,Good,19680,39.1211583333333,-76.54824166666667,Anne Arundel County,CATHERINE AVENUE,NA,07,16,State Highway Agency,State Highway Agency,19680 vehicles
1972,Fair,8100,39.1926222222222,-76.60541111111111,Anne Arundel County,MD 10 RAMPS 5 & 6,NA,07,15,State Highway Agency,State Highway Agency,8100 vehicles
1972,Fair,48600,39.1945861111111,-76.60266111111112,Anne Arundel County,MD 10 & RAMPS 2  5,NA,05,16,State Highway Agency,State Highway Agency,48600 vehicles
1973,Fair,47240,39.1821527777778,-76.60469722222223,Anne Arundel County,MD 10 NBR,NA,03,16,State Highway Agency,State Highway Agency,47240 vehicles
1973,Fair,47240,39.1825611111111,-76.60496111111111,Anne Arundel County,MD 10 SBR,NA,03,16,State Highway Agency,State Highway Agency,47240 vehicles
1974,Fair,2465,39.1862333333333,-76.60468055555556,Anne Arundel County,DOVER ROAD,1071,06,15,State Highway Agency,State Highway Agency,2465 vehicles
1974,Good,1911,39.0165138888889,-76.40989166666667,Anne Arundel County,MD 908D,NA,12,16,State Highway Agency,State Highway Agency,1911 vehicles
1973,Fair,32670,39.1937944444444,-76.60348611111111,Anne Arundel County,MD 710,NA,12,15,State Highway Agency,State Highway Agency,32670 vehicles
1973,Fair,22351,39.1937972222222,-76.60389722222222,Anne Arundel County,MD 710,NA,11,16,State Highway Agency,State Highway Agency,22351 vehicles
